frequency_hz,acceleration_m_s2,displacement_um
1.000000000000000000e+01,1.724669891700614244e-05,1.041151185657344415e-02
1.020000000000000107e+01,1.171166695712599903e-05,9.212187400901732104e-03
1.040000000000000036e+01,4.187408558209426701e-05,1.411497518275680457e-02
1.060000000000000142e+01,1.500951839261688292e-05,7.319487907994687639e-03
1.080000000000000071e+01,2.323356784472707659e-05,1.065013011395736682e-02
1.100000000000000000e+01,2.998324453074019402e-05,1.237832334564625131e-02
1.120000000000000107e+01,1.101425550587009639e-05,6.957637465771436200e-03
1.140000000000000036e+01,4.929262649966403842e-05,1.202406618922276758e-02
1.160000000000000142e+01,4.433018330018967390e-05,1.383171235617354153e-02
1.180000000000000071e+01,3.593923975131474435e-05,2.381402629252876713e-03
1.200000000000000000e+01,1.139956475526560098e-05,6.515027552306974085e-03
1.220000000000000107e+01,1.283373603655491024e-05,4.554321097704156461e-03
1.240000000000000036e+01,1.863851684902328998e-05,2.561830271597029338e-03
1.260000000000000142e+01,1.397113010170869529e-06,4.443980508476920444e-03
1.280000000000000071e+01,1.931395490828435868e-05,7.368621527113526984e-03
1.300000000000000000e+01,1.530412373540457338e-05,4.645339695788402654e-03
1.320000000000000107e+01,2.690462133614346385e-05,6.058186371618199013e-03
1.340000000000000036e+01,1.431925920769572258e-05,6.135878825798186768e-03
1.360000000000000142e+01,1.038069058267865330e-05,2.577739383672378922e-03
1.380000000000000071e+01,2.739376213867217302e-05,6.331781681060126565e-03
1.400000000000000000e+01,3.498973092064261436e-05,8.135539328594561942e-04
1.420000000000000107e+01,2.097170545312110335e-05,3.438583002526798479e-03
1.440000000000000036e+01,4.436842937138862908e-05,8.779994610196115157e-03
1.460000000000000142e+01,5.215565033722668886e-05,9.283597665688704884e-03
1.480000000000000071e+01,3.574579386622644961e-05,7.405554552126545828e-03
1.500000000000000000e+01,3.260246012359857559e-05,6.954746378633610074e-03
1.520000000000000107e+01,7.818190351827070117e-05,1.038466701809526854e-02
1.540000000000000036e+01,5.527197572519071400e-05,9.013568826256262642e-03
1.560000000000000142e+01,5.863200931344181299e-05,7.285302964306718254e-03
1.580000000000000071e+01,5.858893564436584711e-05,8.905649910671239664e-03
1.600000000000000000e+01,1.077482156688347459e-04,1.349082750261511483e-02
1.619999999999999929e+01,1.087056079995818436e-05,1.891762126046885777e-03
1.640000000000000213e+01,1.688925112830474973e-05,2.360294616004965113e-03
1.660000000000000142e+01,8.206666097976267338e-05,9.905758720725597877e-03
1.680000000000000071e+01,6.447493069572374225e-05,6.752338108623582441e-03
1.700000000000000000e+01,7.796804129611700773e-05,7.823621367568594706e-03
1.719999999999999929e+01,1.218375982716679573e-04,1.279662477705783945e-02
1.740000000000000213e+01,1.950970181496813893e-04,1.755553454951616979e-02
1.760000000000000142e+01,2.408679574728012085e-04,2.196153209826998826e-02
1.780000000000000071e+01,4.063903761561959982e-04,3.466830082267628732e-02
1.800000000000000000e+01,6.222523516044020653e-04,5.049191621435227678e-02
1.819999999999999929e+01,2.906565554440021515e-03,2.205158603624864377e-01
1.840000000000000213e+01,9.572785347700119019e-04,7.095916550754907681e-02
1.860000000000000142e+01,3.643545205704867840e-04,2.543857498887797455e-02
1.880000000000000071e+01,2.320664061699062586e-04,1.470244826564698695e-02
1.900000000000000000e+01,1.035972600220702589e-04,5.222755711260448908e-03
1.920000000000000284e+01,7.720811845501884818e-05,3.345304860113178930e-03
1.940000000000000213e+01,3.704576738527975976e-05,1.480619668582512562e-03
1.960000000000000142e+01,1.167898662970401347e-04,5.785720994854750068e-03
1.980000000000000071e+01,1.215856173075735569e-04,6.068994231662016257e-03
2.000000000000000000e+01,6.103014311520382762e-05,2.027485349523513742e-03
2.020000000000000284e+01,1.213362411363050342e-04,6.037625970258496400e-03
2.040000000000000213e+01,3.578676478355191648e-05,8.767139278002181570e-04
2.060000000000000142e+01,4.232138235238380730e-05,2.524514410392590842e-03
2.080000000000000071e+01,4.322035965742543340e-05,1.018603885995155583e-03
2.100000000000000000e+01,3.486963032628409564e-05,7.588302698834689230e-04
2.120000000000000284e+01,6.886350456625223160e-05,2.244644231411184118e-03
2.140000000000000213e+01,5.414625411503948271e-05,1.418787837467240650e-03
2.160000000000000142e+01,6.124490755610167980e-05,2.230833526418488869e-03
2.180000000000000071e+01,1.038513983075972646e-05,1.555214942851844417e-03
2.200000000000000000e+01,5.066645462648011744e-05,1.254695961541455948e-03
2.220000000000000284e+01,2.923290412581991404e-05,9.605255433048337900e-04
2.240000000000000213e+01,4.879089101450517774e-05,1.365908761529080126e-03
2.260000000000000142e+01,4.773018736159428954e-05,9.502881766124046930e-04
2.280000000000000071e+01,2.951195529021788388e-05,9.404595987677961304e-04
2.300000000000000000e+01,4.113600425625918433e-06,1.205344141638286072e-03
2.320000000000000284e+01,6.176515307743102312e-05,2.787788299094508520e-03
2.340000000000000213e+01,2.312087235623039305e-05,1.956125665197158605e-03
2.360000000000000142e+01,6.600483175134286284e-06,1.185767766865990745e-03
2.380000000000000071e+01,5.182277891435660422e-05,2.389311215617579646e-03
2.400000000000000000e+01,4.817357330466620624e-05,1.516366897290658553e-03
2.420000000000000284e+01,4.918174454360269010e-05,1.932721139087246803e-03
2.440000000000000213e+01,4.446595266927033663e-05,1.126961020194018224e-03
2.460000000000000142e+01,6.217431746335932985e-06,1.465150276884645119e-03
2.480000000000000071e+01,3.512863622745499015e-05,1.299066152224847507e-03
2.500000000000000000e+01,1.608364073035772890e-05,5.459821828814814208e-04
2.520000000000000284e+01,2.755563036771491170e-05,8.278142214546849523e-04
2.540000000000000213e+01,4.796002485818462446e-06,9.832075764184225897e-04
2.560000000000000142e+01,8.004249684745445848e-05,3.879270232116487690e-03
2.580000000000000071e+01,3.239845318603329360e-05,7.461449559268782533e-04
2.600000000000000000e+01,1.867933497123885900e-05,9.177888262514863945e-04
2.620000000000000284e+01,1.327722566202282906e-05,1.096183155367001522e-03
2.640000000000000213e+01,4.283489033696241677e-05,1.122118413241960690e-03
2.660000000000000142e+01,3.840454519377090037e-05,7.059193639488562429e-04
2.680000000000000071e+01,1.823404272727202624e-05,1.395701652361554810e-03
2.700000000000000000e+01,4.322548647905932739e-06,1.124237375249911592e-03
2.720000000000000284e+01,7.425238436553627253e-05,2.561778360861369230e-03
2.740000000000000213e+01,3.326834485051222146e-05,1.849240531600932912e-04
2.760000000000000142e+01,2.761502400971949100e-05,5.565800008893460925e-04
2.780000000000000071e+01,3.634681706898845732e-05,8.479422896845281764e-04
2.800000000000000000e+01,1.215536613017320633e-04,3.167932025985921787e-03
2.820000000000000284e+01,4.561306923278607428e-05,9.109716476150648765e-04
2.840000000000000213e+01,6.101639519329182804e-05,1.604199177777999516e-03
2.860000000000000142e+01,1.160831743618473411e-04,3.143569631996763220e-03
2.880000000000000071e+01,1.046370816766284406e-04,2.829568121184093329e-03
2.900000000000000000e+01,1.275634276680648327e-04,3.889408540475476454e-03
2.920000000000000284e+01,1.754611148498952389e-04,4.954845033245188976e-03
2.940000000000000213e+01,2.719519834499806166e-04,7.729739091648534476e-03
2.960000000000000142e+01,8.950762567110359669e-04,2.575249168596180013e-02
2.980000000000000071e+01,7.581312675029039383e-04,2.170225781909496110e-02
3.000000000000000000e+01,3.021955490112304688e-04,8.370382327900695307e-03
3.020000000000000284e+01,1.976158964680507779e-04,4.971122745502563889e-03
3.040000000000000213e+01,2.356771437916904688e-04,7.092911839301970292e-03
3.060000000000000142e+01,1.234050432685762644e-04,3.888942618770820873e-03
3.080000000000000071e+01,9.870778012555092573e-05,3.195378345911606237e-03
3.100000000000000000e+01,4.770644227392040193e-05,1.704708234808973138e-03
3.120000000000000284e+01,6.297622894635424018e-05,1.684305532209895819e-03
3.140000000000000213e+01,6.235347973415628076e-05,2.200382966656340335e-03
3.160000000000000142e+01,5.289628097671084106e-05,1.739735365026117688e-03
3.180000000000000071e+01,2.755223795247729868e-05,1.405237841001751682e-03
3.200000000000000000e+01,5.340518328011967242e-05,1.929211134355923209e-03
3.220000000000000284e+01,4.879944754065945745e-05,1.128176302817680485e-03
3.239999999999999858e+01,5.339939525583758950e-05,1.322643914407585757e-03
3.260000000000000142e+01,1.550477645650971681e-05,9.103773102805938358e-04
3.280000000000000426e+01,3.484926128294318914e-05,3.225912948821534195e-04
3.300000000000000000e+01,4.349161099526099861e-05,1.458259940523650442e-03
3.320000000000000284e+01,3.865247708745300770e-05,6.734553877782565494e-04
3.339999999999999858e+01,2.543463051551952958e-05,8.033697191244533031e-04
3.360000000000000142e+01,1.883719050965737551e-05,9.675865864000461310e-04
3.380000000000000426e+01,2.649770431162323803e-05,5.612556583438673558e-04
3.400000000000000000e+01,1.964488546946085989e-05,1.057145934997787314e-03
3.420000000000000284e+01,2.343221785849891603e-05,9.305079325190520083e-04
3.439999999999999858e+01,1.771067582012619823e-05,3.022327028763049993e-04
3.460000000000000142e+01,4.018006438855081797e-05,5.148661254859106164e-04
3.480000000000000426e+01,2.695878174563404173e-05,2.655266028809191562e-04
3.500000000000000000e+01,3.379827830940485001e-05,1.097543952214382083e-03
3.520000000000000284e+01,2.136770308425184339e-05,1.920187836009262425e-04
3.539999999999999858e+01,4.416018055053427815e-05,1.046817763190623562e-03
3.560000000000000142e+01,2.368625791859813035e-05,1.283825779948865361e-04
3.580000000000000426e+01,4.127439387957565486e-05,9.657094414638304775e-04
3.600000000000000000e+01,3.675750849652104080e-05,4.685484243475044014e-04
3.620000000000000284e+01,4.264670496922917664e-05,3.813274882283854443e-04
3.639999999999999858e+01,1.362628245260566473e-05,5.693098888212963418e-04
3.660000000000000142e+01,2.996232797158882022e-05,8.735834994825410899e-04
3.680000000000000426e+01,1.331896146439248696e-05,7.532763845461608538e-04
3.700000000000000000e+01,4.158905721851624548e-05,8.909501519656461751e-04
3.720000000000000284e+01,7.049142368487082422e-06,6.206636308618323139e-04
3.739999999999999858e+01,3.242843376938253641e-05,2.782493387670312442e-04
