frequency_hz,acceleration_m_s2,displacement_um
1.000000000000000000e+01,3.231582741136662662e-05,8.742665986928088240e-04
1.020000000000000107e+01,3.335095243528485298e-05,1.080196578446575469e-02
1.040000000000000036e+01,2.171461346733849496e-05,1.097774865600884865e-02
1.060000000000000142e+01,4.238330075168050826e-05,2.703716868732882177e-03
1.080000000000000071e+01,4.751923370349686593e-06,5.741023842057840602e-03
1.100000000000000000e+01,3.567097155610099435e-05,1.387295858401066569e-02
1.120000000000000107e+01,8.535051165381446481e-06,4.634707888414871246e-03
1.140000000000000036e+01,1.875341149570886046e-05,3.645995507074885084e-03
1.160000000000000142e+01,1.675462954153772444e-05,3.619367954234727763e-03
1.180000000000000071e+01,5.526314998860470951e-05,4.329707812107088521e-03
1.200000000000000000e+01,1.184587381430901587e-05,5.432841512640320704e-03
1.220000000000000107e+01,2.920036786235868931e-05,5.143860337644286761e-04
1.240000000000000036e+01,3.948744779336266220e-05,6.128431660547760743e-03
1.260000000000000142e+01,4.659371552406810224e-05,2.343198977350382812e-03
1.280000000000000071e+01,1.220400463353144005e-05,3.072581088305486197e-03
1.300000000000000000e+01,5.409725417848676443e-05,3.501234896449955704e-03
1.320000000000000107e+01,2.461443000356666744e-05,4.249490065031103631e-03
1.340000000000000036e+01,2.815618427121080458e-05,1.049792532029197086e-03
1.360000000000000142e+01,6.713606853736564517e-05,9.373569883599833924e-03
1.380000000000000071e+01,1.888297811092343181e-05,6.705390484266575933e-03
1.400000000000000000e+01,5.968068217043764889e-05,7.392917447415279023e-03
1.420000000000000107e+01,2.909569229814223945e-05,7.529419299754069525e-03
1.440000000000000036e+01,4.446793172974139452e-05,2.315783328058922987e-03
1.460000000000000142e+01,5.788410271634347737e-05,4.662739610434585638e-03
1.480000000000000071e+01,8.535481902072206140e-05,6.785111470684997842e-03
1.500000000000000000e+01,3.880608346662484109e-05,4.777601975187292273e-03
1.520000000000000107e+01,1.658418295846786350e-05,5.240924894907857991e-03
1.540000000000000036e+01,3.619998460635542870e-05,2.898857683239126209e-03
1.560000000000000142e+01,2.805677831929642707e-05,2.279068876009508401e-03
1.580000000000000071e+01,2.978050542878918350e-05,2.354295374693904548e-03
1.600000000000000000e+01,4.976791024091653526e-05,5.111988221380302580e-03
1.619999999999999929e+01,7.478183397324755788e-05,3.924864003023970094e-03
1.640000000000000213e+01,7.376217399723827839e-05,3.864455680991409244e-03
1.660000000000000142e+01,5.396276173996739089e-05,2.869536976493129200e-03
1.680000000000000071e+01,8.729394176043570042e-05,5.204747403789828850e-03
1.700000000000000000e+01,9.493150719208642840e-05,5.374901375796057104e-03
1.719999999999999929e+01,1.303811150137335062e-04,1.027957582226962478e-02
1.740000000000000213e+01,1.827389933168888092e-04,1.249832900862393043e-02
1.760000000000000142e+01,1.858852774603292346e-04,1.343021105823577997e-02
1.780000000000000071e+01,4.031213175039738417e-04,2.940361163817346510e-02
1.800000000000000000e+01,6.627722177654504776e-04,4.907021723932754320e-02
1.819999999999999929e+01,2.773064654320478439e-03,2.142766031980366803e-01
1.840000000000000213e+01,7.675399538129568100e-04,5.884454761472601020e-02
1.860000000000000142e+01,4.955460317432880402e-04,3.846091308575107920e-02
1.880000000000000071e+01,1.476960023865103722e-04,1.284533895866536365e-02
1.900000000000000000e+01,1.472437434131279588e-04,1.224767845261540491e-02
1.920000000000000284e+01,9.692501043900847435e-05,9.130655131323413623e-03
1.940000000000000213e+01,1.041982541210018098e-04,9.445962891109608434e-03
1.960000000000000142e+01,7.688749610679224133e-05,7.385379691068011919e-03
1.980000000000000071e+01,6.011204459355212748e-05,6.174179718876760328e-03
2.000000000000000000e+01,1.385404902976006269e-04,1.105859918832585373e-02
2.020000000000000284e+01,4.717841875390149653e-05,4.714238219078739460e-03
2.040000000000000213e+01,2.852021862054243684e-05,3.953241290463353590e-03
2.060000000000000142e+01,7.788556104060262442e-05,6.875748860820666587e-03
2.080000000000000071e+01,6.061498788767494261e-05,5.663317148591022476e-03
2.100000000000000000e+01,3.908959115506149828e-05,4.411080906453424856e-03
2.120000000000000284e+01,1.924188154589501210e-06,2.056053104605557250e-03
2.140000000000000213e+01,1.317786882282234728e-05,1.512162082300170639e-03
2.160000000000000142e+01,3.706164716277271509e-05,4.060099342282258265e-03
2.180000000000000071e+01,2.752856926235835999e-05,3.003765064235860375e-03
2.200000000000000000e+01,5.693849379895254970e-05,4.980997005447782879e-03
2.220000000000000284e+01,3.491457391646690667e-05,1.709013998730878926e-03
2.240000000000000213e+01,5.219568265601992607e-05,4.599031165042160446e-03
2.260000000000000142e+01,5.170406802790239453e-05,4.500711263159816976e-03
2.280000000000000071e+01,5.318023613654077053e-05,4.480081956164921018e-03
2.300000000000000000e+01,3.837636177195236087e-05,3.418351738985826119e-03
2.320000000000000284e+01,1.913863707159180194e-05,1.121043154869182318e-03
2.340000000000000213e+01,5.402602619142271578e-05,4.337781416920425889e-03
2.360000000000000142e+01,2.001597931666765362e-05,9.068650136083053178e-04
2.380000000000000071e+01,5.247865919955074787e-05,4.103431709946430035e-03
2.400000000000000000e+01,5.213939584791660309e-05,3.943307726466003735e-03
2.420000000000000284e+01,1.732175769575405866e-05,1.067548203607557658e-03
2.440000000000000213e+01,4.714770693681202829e-05,3.572688793494901375e-03
2.460000000000000142e+01,3.478990402072668076e-05,3.161840997114721483e-03
2.480000000000000071e+01,2.049547038041055202e-05,2.510579362949912074e-03
2.500000000000000000e+01,1.625553886697161943e-05,1.942597695823632771e-03
2.520000000000000284e+01,4.201554111205041409e-05,3.044249881689453825e-03
2.540000000000000213e+01,5.977261389489285648e-05,3.632596672396962850e-03
2.560000000000000142e+01,1.144490888691507280e-04,6.017118648693319666e-03
2.580000000000000071e+01,5.197282735025510192e-05,3.536999662572599089e-03
2.600000000000000000e+01,9.856536053121089935e-06,1.887662646189881572e-03
2.620000000000000284e+01,5.352406515157781541e-05,2.205870748810186566e-03
2.640000000000000213e+01,1.436340426153037697e-05,1.498851863830884474e-03
2.660000000000000142e+01,5.138836058904416859e-05,3.004002727130688968e-03
2.680000000000000071e+01,2.526291609683539718e-05,1.878688392139444933e-03
2.700000000000000000e+01,5.426512507256120443e-05,3.159334810087073564e-03
2.720000000000000284e+01,3.002595076395664364e-05,2.476072198685170048e-03
2.740000000000000213e+01,7.153935439419001341e-05,3.281720942933756806e-03
2.760000000000000142e+01,8.284999785246327519e-05,3.396312979430303643e-03
2.780000000000000071e+01,3.140006083413027227e-05,2.454624184505577351e-03
2.800000000000000000e+01,4.449168409337289631e-05,1.964701851415517203e-03
2.820000000000000284e+01,8.872918260749429464e-05,3.644964172916273851e-03
2.840000000000000213e+01,9.379181574331596494e-05,3.643736179944664054e-03
2.860000000000000142e+01,5.728037649532780051e-05,2.483414943906041197e-03
2.880000000000000071e+01,1.118655272875912488e-04,3.942686448782239603e-03
2.900000000000000000e+01,1.085246331058442593e-04,4.220120401546661321e-03
